Opportunity No.,Reporting Status,Product,Industry,Region,Segment,Relative Strength in the segment,Profit of customer - $Mn,Sales Value - $Mn,Profit %,Joint Bid - WSES Portion
Training59,Won,Lifesys,Capital Markets,UK,"Lifesys,Capital Markets,UK",27, 1.010 , 11.4 , 57 ,78
Training60,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38, 1.308 , 10.5 , 38 ,55
Training61,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 1.302 , 9.7 , 54 ,55
Training62,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 1.206 , 5.3 , 49 ,55
Training63,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63, 1.672 , 5.3 , 53 ,56
Training64,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 0.595 , 10.3 , 34 ,54
Training65,Won,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, (0.088), 7.9 , 40 ,75
Training66,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38, 0.624 , 4.2 , 55 ,75
Training67,Lost,GTMSys,Banks,UK,"GTMSys,Banks,UK",61, 1.329 , 10.3 , 63 ,45
Training68,Won,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58, 0.446 , 10.8 , 51 ,68
Training69,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58, 1.433 , 8.1 , 44 ,48
Training70,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 1.108 , 7.6 , 68 ,67
Training71,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 1.616 , 6.1 , 52 ,65
Training72,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 0.681 , 5.9 , 44 ,60
Training73,Lost,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33, 1.734 , 7.5 , 42 ,66
Training74,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 1.427 , 8.9 , 45 ,100
Training75,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 1.131 , 7.5 , 40 ,58
Training76,Lost,GTMSys,Security,Singapore,"GTMSys,Security,Singapore",73, 0.778 , 9.6 , 45 ,52
Training77,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60, 0.881 , 6.6 , 58 ,52
Training78,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 1.561 , 6.5 , 46 ,48
Training79,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 0.774 , 8.2 , 64 ,59
Training80,Lost,Procsys,Security,India,"Procsys,Security,India",44, 1.410 , 6.8 , 45 ,66
Training81,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 1.144 , 9.2 , 55 ,61
Training82,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 1.283 , 4.3 , 44 ,57
Training83,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48, 0.347 , 6.8 , 42 ,70
Training84,Lost,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33, 0.948 , 8.9 , 86 ,64
Training85,Won,ContactSys,Banks,UK,"ContactSys,Banks,UK",59, 0.798 , 6.5 , 42 ,48
Training86,Won,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58, 0.464 , 8.3 , 45 ,40
Training87,Lost,Procsys,Security,India,"Procsys,Security,India",44, 1.247 , 4.7 , 48 ,56
Training88,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 0.896 , 7.9 , 43 ,60
Training89,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 1.474 , 9.2 , 44 ,57
Training90,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49, 1.010 , 7.6 , 52 ,58
Training91,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 1.188 , 7.8 , 48 ,47
Training92,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39, 0.406 , 7.6 , 49 ,100
Training93,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 0.421 , 6.0 , 60 ,68
Training94,Won,Procsys,Security,India,"Procsys,Security,India",44, 0.770 , 6.5 , 42 ,53
Training95,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 0.752 , 8.2 , 42 ,52
Training96,Lost,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64, 1.077 , 7.6 , 51 ,59
Training97,Won,GTMSys,Others,Other Europe,"GTMSys,Others,Other Europe",69, 0.663 , 9.7 , 39 ,68
Training98,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 1.529 , 9.3 , 53 ,63
Training99,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49, 1.214 , 9.5 , 60 ,46
Training100,Lost,GTMSys,Telecom equipments,Spain,"GTMSys,Telecom equipments,Spain",66, 1.088 , 10.3 , 59 ,56
Training101,Lost,Finsys,Insurance,UK,"Finsys,Insurance,UK",31, 1.329 , 8.1 , 58 ,62
Training102,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49, 1.239 , 9.1 , 43 ,53
Training103,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 1.071 , 4.3 , 49 ,56
Training104,Won,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 0.339 , 6.3 , 41 ,64
Training105,Lost,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65, 1.280 , 6.2 , 49 ,71
Training106,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 1.111 , 7.2 , 45 ,48
Training107,Won,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, 0.676 , 10.8 , 56 ,68
Training108,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 0.909 , 6.9 , 58 ,39
Training109,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48, 1.549 , 8.0 , 51 ,65
Training110,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48, 1.138 , 8.2 , 48 ,62
Training111,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 1.225 , 8.4 , 35 ,59
Training112,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60, 0.785 , 9.5 , 45 ,58
Training113,Won,Procsys,Clinical research,UK,"Procsys,Clinical research,UK",70, 0.464 , 7.8 , 47 ,53
Training114,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 0.237 , 7.3 , 54 ,77
Training115,Won,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63, 0.007 , 11.7 , 49 ,70
Training116,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48, 0.809 , 8.7 , 52 ,58
Training117,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 1.478 , 5.1 , 45 ,53
Training118,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42, 0.832 , 8.5 , 48 ,58
Training119,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 0.710 , 3.8 , 42 ,67
Training120,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 0.868 , 8.2 , 59 ,56
Training121,Won,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41, 1.169 , 8.0 , 40 ,52
Training122,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40, (0.211), 7.4 , 40 ,56
Training123,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63, 0.609 , 7.1 , 57 ,54
Training124,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 0.888 , 8.3 , 32 ,63
Training125,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, 0.951 , 8.3 , 49 ,60
Training126,Won,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 1.086 , 9.0 , 40 ,65
Training127,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59, 1.225 , 8.0 , 51 ,70
Training128,Lost,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64, 1.245 , 10.9 , 67 ,65
Training129,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 1.046 , 6.9 , 47 ,66
Training130,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48, 0.543 , 6.6 , 63 ,41
Training131,Won,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 1.028 , 5.9 , 42 ,68
Training132,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, 1.174 , 8.6 , 49 ,59
Training133,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49, 1.066 , 11.2 , 44 ,68
Training134,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 0.537 , 12.3 , 57 ,51
Training135,Lost,Finsys,Insurance,UK,"Finsys,Insurance,UK",31, 1.364 , 8.7 , 55 ,45
Training136,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40, 0.829 , 8.3 , 47 ,50
Training137,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 0.397 , 8.0 , 43 ,39
Training138,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 0.042 , 5.5 , 49 ,69
Training139,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38, 1.116 , 9.1 , 42 ,49
Training140,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 1.430 , 6.1 , 69 ,74
Training141,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58, 0.326 , 5.0 , 70 ,67
Training142,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 1.517 , 8.6 , 59 ,58
Training143,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 1.195 , 6.1 , 41 ,70
Training144,Lost,Procsys,Security,India,"Procsys,Security,India",44, 0.474 , 4.8 , 71 ,52
Training145,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 1.180 , 7.5 , 44 ,48
Training146,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42, (0.018), 9.5 , 52 ,70
Training147,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 0.699 , 8.7 , 37 ,52
Training148,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 1.294 , 8.5 , 48 ,76
Training149,Lost,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 1.225 , 10.1 , 56 ,55
Training150,Lost,GTMSys,Others,Americas,"GTMSys,Others,Americas",38, 1.071 , 8.5 , 78 ,42
Training151,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 2.112 , 12.0 , 31 ,48
Training152,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37, (0.453), 9.1 , 50 ,65
Training153,Lost,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41, 1.687 , 8.3 , 46 ,71
Training154,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 1.581 , 11.3 , 47 ,70
Training155,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 0.230 , 8.7 , 28 ,57
Training156,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 1.178 , 8.8 , 54 ,75
Training157,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 0.842 , 7.5 , 51 ,65
Training158,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 1.025 , 7.6 , 57 ,68
Training159,Won,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64, 0.201 , 9.0 , 57 ,45
Training160,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 1.021 , 9.0 , 63 ,40
Training161,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 1.835 , 6.3 , 55 ,54
Training162,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40, 0.668 , 9.8 , 49 ,53
Training163,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 0.991 , 8.6 , 74 ,64
Training164,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63, 1.794 , 6.0 , 42 ,61
Training165,Lost,GTMSys,Telecom equipments,Spain,"GTMSys,Telecom equipments,Spain",66, 1.458 , 6.5 , 56 ,63
Training166,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 0.829 , 12.3 , 54 ,64
Training167,Lost,GTMSys,Others,Africa,"GTMSys,Others,Africa",39, 0.793 , 5.1 , 64 ,51
Training168,Lost,GTMSys,Others,Other Europe,"GTMSys,Others,Other Europe",69, 0.935 , 9.2 , 46 ,68
Training169,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63, 0.896 , 6.9 , 66 ,77
Training170,Lost,Logissys,Mobility,UK,"Logissys,Mobility,UK",35, 1.275 , 8.7 , 48 ,51
Training171,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54, 0.720 , 4.0 , 49 ,57
Training172,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60, 2.484 , 8.4 , 50 ,50
Training173,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62, 0.595 , 12.8 , 64 ,62
Training174,Won,Logissys,Mobility,UK,"Logissys,Mobility,UK",35, (0.001), 4.7 , 49 ,69
Training175,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49, 1.208 , 6.2 , 57 ,63
Training176,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 0.263 , 8.0 , 39 ,59
Training177,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 0.941 , 11.9 , 62 ,64
Training178,Lost,GTMSys,Banks,UK,"GTMSys,Banks,UK",61, 1.241 , 8.2 , 70 ,53
Training179,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, 1.368 , 9.0 , 50 ,54
Training180,Lost,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41, 1.259 , 9.5 , 65 ,45
Training181,Lost,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64, 0.985 , 7.4 , 45 ,57
Training182,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37, 0.865 , 9.1 , 55 ,63
Training183,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39, 0.780 , 4.4 , 51 ,65
Training184,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62, 0.516 , 8.1 , 71 ,63
Training185,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, 1.418 , 8.4 , 50 ,42
Training186,Won,Procsys,Energy,UK,"Procsys,Energy,UK",34, 1.557 , 6.5 , 38 ,73
Training187,Lost,Procsys,Security,India,"Procsys,Security,India",44, 1.456 , 6.7 , 46 ,60
Training188,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 0.752 , 6.5 , 48 ,64
Training189,Lost,Procsys,Security,Americas,"Procsys,Security,Americas",68, 0.418 , 8.1 , 55 ,54
Training190,Won,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64, 0.665 , 7.2 , 52 ,62
Training191,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 0.578 , 6.7 , 64 ,37
Training192,Lost,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65, 0.868 , 6.5 , 74 ,62
Training193,Won,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33, 1.568 , 6.3 , 41 ,72
Training194,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51, 1.575 , 8.8 , 53 ,56
Training195,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49, 1.124 , 10.4 , 55 ,60
Training196,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 0.577 , 4.2 , 62 ,64
Training197,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 0.848 , 6.1 , 46 ,43
Training198,Lost,Procsys,Security,India,"Procsys,Security,India",44, 1.263 , 6.6 , 47 ,50
Training199,Won,Logissys,Govt.,UK,"Logissys,Govt.,UK",36, 1.047 , 11.6 , 49 ,66
Training200,Won,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60, (0.293), 7.7 , 51 ,64
Training201,Won,Finsys,Insurance,UK,"Finsys,Insurance,UK",31, 1.412 , 5.5 , 47 ,57
Training202,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 0.929 , 9.0 , 36 ,54
Training203,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 0.954 , 7.5 , 46 ,54
Training204,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49, 1.250 , 6.4 , 63 ,76
Training205,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 0.868 , 7.2 , 59 ,59
Training206,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, (0.014), 5.7 , 63 ,85
Training207,Won,Procsys,Security,Americas,"Procsys,Security,Americas",68, 0.572 , 11.2 , 51 ,60
Training208,Won,GTMSys,Banks,UK,"GTMSys,Banks,UK",61, 0.500 , 8.9 , 51 ,54
Training209,Won,GTMSys,Defense,Other Europe,"GTMSys,Defense,Other Europe",30, 1.265 , 7.5 , 41 ,58
Training210,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 0.638 , 6.1 , 53 ,55
Training211,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 1.245 , 12.0 , 50 ,49
Training212,Won,GTMSys,Banks,UK,"GTMSys,Banks,UK",61, 0.884 , 3.7 , 30 ,53
Training213,Won,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33, 1.153 , 4.1 , 52 ,60
Training214,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45, 1.417 , 7.1 , 49 ,43
Training215,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47, 0.895 , 7.8 , 59 ,46
Training216,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57, 1.603 , 7.4 , 50 ,48
Training217,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58, 2.112 , 6.9 , 58 ,62
Training218,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46, 1.080 , 7.1 , 51 ,52
Training219,Won,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60, 0.166 , 7.8 , 57 ,54
Training220,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 1.349 , 9.7 , 43 ,62
Training221,Won,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33, 1.484 , 4.1 , 50 ,79
Training222,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55, 0.728 , 9.0 , 67 ,53
Training223,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 1.375 , 9.8 , 66 ,55
Training224,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60, 0.918 , 5.3 , 56 ,65
Training225,Won,Procsys,Security,India,"Procsys,Security,India",44, 0.829 , 6.3 , 47 ,44
Training226,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 0.888 , 6.6 , 49 ,38
Training227,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43, 0.710 , 8.6 , 61 ,60
Training228,Won,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64, 0.595 , 5.5 , 43 ,67
Training229,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42, 0.724 , 10.3 , 45 ,65
Training230,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40, 1.225 , 6.9 , 47 ,60
Training231,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 1.500 , 7.5 , 38 ,64
Training232,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56, 1.045 , 8.3 , 53 ,75
Training233,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53, 0.538 , 9.3 , 46 ,68
Training234,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48, 1.288 , 6.5 , 48 ,79
Training235,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50, 1.580 , 10.1 , 41 ,70
Training236,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52, 1.788 , 10.4 , 41 ,51
Training237,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39, 0.577 , 4.6 , 58 ,62
